iter	RMSE
0	0.3980623042
1	0.3766659937
2	0.3639174797
3	0.3541650953
4	0.3488330348
5	0.343912939
6	0.3408041171
7	0.3377481287
8	0.334957167
9	0.3314353623
10	0.3301511842
11	0.3289040209
12	0.3278811958
13	0.3265608772
14	0.3255324537
15	0.3249591278
16	0.3229433001
17	0.3225522398
18	0.3220919186
19	0.3217155936
20	0.3215657023
21	0.3208422114
22	0.3199604158
23	0.3194565271
24	0.3186380806
25	0.3180568937
26	0.3174357213
27	0.3169103754
28	0.3163685918
29	0.3160706906
30	0.315294193
31	0.3147752833
32	0.3141438919
33	0.313664008
34	0.3132135817
35	0.3122540147
36	0.3116672923
37	0.3111731508
38	0.3108572278
39	0.3103668516
40	0.3101266901
41	0.3100186749
42	0.3093344224
43	0.3090862454
44	0.3086330453
45	0.308498101
46	0.3079220421
47	0.3078392158
48	0.3074397785
49	0.3069240255
50	0.3065829867
51	0.306286124
52	0.3060506236
53	0.3056970019
54	0.3054066025
55	0.3053844818
56	0.3050604936
57	0.3047490285
58	0.304593065
59	0.3043088363
60	0.3039505815
61	0.3036838273
62	0.3032558812
63	0.3028360976
64	0.3024786444
65	0.3023123568
66	0.3017980198
67	0.3017476347
68	0.301739695
69	0.3011381142
70	0.3007308389
71	0.3003832243
72	0.3003628039
73	0.3002912382
74	0.3002354319
75	0.3001226973
76	0.300048423
77	0.2996660021
78	0.2994420586
79	0.2991606032
80	0.2988341666
81	0.2982859393
82	0.2982477128
83	0.2981756751
84	0.2977816193
85	0.2977030563
86	0.2974321646
87	0.2971074771
88	0.2969072421
89	0.2965795972
90	0.29639154
91	0.2959496797
92	0.295810905
93	0.2954035255
94	0.2949013811
95	0.2947087551
96	0.2942814949
97	0.2941048646
98	0.2937972735
99	0.293745111
