iter	Passed	Remaining
0	1	136
1	2	115
2	3	104
3	4	100
4	5	99
5	6	98
6	7	98
7	8	96
8	9	94
9	10	93
10	11	91
11	12	90
12	13	89
13	14	88
14	16	90
15	17	90
16	18	88
17	18	86
18	19	84
19	20	83
20	21	82
21	23	81
22	24	80
23	25	79
24	26	78
25	27	78
26	28	76
27	29	75
28	30	74
29	31	73
30	32	72
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	40	65
38	40	64
39	41	62
40	43	62
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	55
48	51	54
49	52	52
50	54	51
51	55	50
52	56	49
53	57	48
54	58	47
55	59	46
56	60	45
57	62	44
58	63	43
59	64	43
60	65	42
61	67	41
62	68	40
63	69	39
64	70	38
65	72	37
66	73	36
67	74	34
68	75	33
69	76	32
70	77	31
71	78	30
72	79	29
73	80	28
74	82	27
75	83	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	20
81	90	19
82	91	18
83	92	17
84	93	16
85	94	15
86	95	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	109	2
98	110	1
99	111	0
